idPan;panNome;panBioma
CBC_01.01;(Finalizado) Lepidópteros;Amazônia
CBC_01.01;(Finalizado) Lepidópteros;Caatinga
CBC_01.01;(Finalizado) Lepidópteros;Cerrado
CBC_01.01;(Finalizado) Lepidópteros;Mata Atlântica
CBC_01.01;(Finalizado) Lepidópteros;Pampa
CBC_01.01;(Finalizado) Lepidópteros;Pantanal
CBC_02.01;Insetos Polinizadores;Amazônia
CBC_02.01;Insetos Polinizadores;Caatinga
CBC_02.01;Insetos Polinizadores;Cerrado
CBC_02.01;Insetos Polinizadores;Mata Atlântica
CBC_02.01;Insetos Polinizadores;Pampa
CECAV_01.01;(Finalizado) Morceguinho-do-cerrado;Cerrado
CECAV_02.01;(Finalizado) Cavernas do Rio São Francisco;Cerrado
CECAV_02.01;(Finalizado) Cavernas do Rio São Francisco;Caatinga
CECAV_02.01;(Finalizado) Cavernas do Rio São Francisco;Mata Atlântica
CECAV_03.01;Cavernas do Brasil;Amazônia
CECAV_03.01;Cavernas do Brasil;Caatinga
CECAV_03.01;Cavernas do Brasil;Cerrado
CECAV_03.01;Cavernas do Brasil;Mata Atlântica
CECAV_03.01;Cavernas do Brasil;Pampa
CECAV_03.01;Cavernas do Brasil;Pantanal
CECAV_03.01;Cavernas do Brasil;Marinho
CEMAVE_01.01;(Finalizado) Mutum-do-sudeste;Mata Atlântica
CEMAVE_02.01;(Finalizado) Albatrozes e Petréis - 1º ciclo;Marinho
CEMAVE_03.01;(Finalizado) Arara-azul-de-Lear - 1º ciclo;Caatinga
CEMAVE_04.01;(Finalizado) Aves de Rapina;Cerrado
CEMAVE_04.01;(Finalizado) Aves de Rapina;Mata Atlântica
CEMAVE_04.01;(Finalizado) Aves de Rapina;Pantanal
CEMAVE_04.01;(Finalizado) Aves de Rapina;Amazônia
CEMAVE_04.01;(Finalizado) Aves de Rapina;Pampa
CEMAVE_05.01;(Finalizado) Galliformes;Mata Atlântica
CEMAVE_05.01;(Finalizado) Galliformes;Amazônia
