idPan;panNome;panNomeCompleto;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panPortaria;panProcesso;panLogo;panSite
CBC_01.01;(Finalizado) Lepidópteros;Plano de Ação Nacional para a Conservação de Lepidópteros;Lepidópteros;Intraclasse;Nacional;1º ciclo;Finalizado;CBC;27/08/2010;2010;27/08/2010;27/08/2010;01/12/2015;2015;Portaria 92 (27/08/2010);02070.002646/2010-11;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lepidopteros
CBC_02.01;Insetos Polinizadores;Plano de Ação Nacional para a Conservação Plano de Ação Nacional para a Conservação dos Insetos Polinizadores Ameaçados de Extinção;Insetos Polinizadores;Intraclasse;Nacional;1º ciclo;Em execução;CBC;05/12/2022;2022;05/12/2022;02/01/2022;31/12/2027;2027;Portaira 1145 (05/12/2022);02176.000061/2019-17;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-insetos-polinizadores
CECAV_01.01;(Finalizado) Morceguinho-do-cerrado;Plano de Ação Nacional para Conservação do Morceguinho-do-cerrado;Morceguinho-do-cerrado;Monoespecífico;Bioma;1º ciclo;Finalizado;CECAV;27/08/2010;2010;27/08/2010;27/08/2010;01/09/2015;2015;Portaria 89 (27/08/2010);02070.003685/2009-94;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-morceguinho-do-cerrado
CECAV_02.01;(Finalizado) Cavernas do Rio São Francisco;Plano de Ação Nacional para a Conservação do Patrimônio Espeleológico nas Áreas Cársticas da Bacia do Rio São Francisco;Cavernas do Rio São Francisco;Multiclasse;Ecossistema;1º ciclo;Finalizado;CECAV;17/02/2012;2012;17/02/2012;17/02/2017;01/02/2017;2017;Portaria 18 (17/02/2012);02070.002654/2010-50;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cavernas
CECAV_03.01;Cavernas do Brasil;Plano de Ação Nacional para a Conservação do Patrimônio Espeleológico Brasileiro;Cavernas do Brasil;Multiclasse;Ecossistema;1º ciclo;Em execução;CECAV;09/08/2022;2022;09/08/2022;01/09/2022;01/08/2027;2027;Portaria 646 (09/08/2022);02667.000076/2019-45;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cavernas-do-brasil
CEMAVE_01.01;(Finalizado) Mutum-do-sudeste;Plano de Ação Nacional para a Conservação do Mutum-do-sudeste;Mutum-do-sudeste;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;01/01/2004;2004;12/12/2013;;01/12/2014;2014;Portaria 266 (12/12/2013);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mutum-do-sudeste
CEMAVE_02.01;(Finalizado) Albatrozes e Petréis - 1º ciclo;Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis;Albatrozes e Petréis;Intraclasse;Bioma;1º ciclo;Finalizado;CEMAVE;01/01/2006;2006;01/01/2006;;01/01/2006;2006;Livro (2006);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-albatrozes-e-petreis
CEMAVE_03.01;(Finalizado) Arara-azul-de-Lear - 1º ciclo;Plano de Ação Nacional para Conservação da Arara-azul-de-lear (Anodorhynchus leari);Arara-azul-de-Lear;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;01/01/2006;2006;01/01/2006;;01/12/2011;2011;Livro (2006);02070.002414/2009-11;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-arara-azul-de-lear
CEMAVE_04.01;(Finalizado) Aves de Rapina;Plano de Ação Nacional para a Conservação de Aves de Rapina;Aves de Rapina;Intraclasse;Nacional;1º ciclo;Finalizado;CEMAVE;04/04/2006;2006;01/01/2008;;01/12/2011;2011;Livro (2008);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-de-rapina
CEMAVE_05.01;(Finalizado) Galliformes;Plano de Ação Nacional para a Conservação dos Galliformes;Galliformes;Intraclasse;Nacional;1º ciclo;Finalizado;CEMAVE;25/04/2007;2007;01/01/2008;;01/12/2011;2011;Livro (2008);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-galliformes
