idTaxon;taxonNome;idPan;pan_nome
10488;Cyanopsitta spixii;CEMAVE_27.02;Ararinha-azul - 2º ciclo
7915;Adelophryne maranguapensis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
7935;Hylomantis granulosa;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12115;Glaucomastix abaetensis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12121;Ameivula nativo;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12189;Amerotyphlops amoipira;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12192;Amerotyphlops paucisquamus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12194;Amerotyphlops yonenagae;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11542;Amphisbaena arda;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11558;Amphisbaena frontalis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11578;Amphisbaena nigricauda;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11588;Amphisbaena supernumeraria;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11592;Amphisbaena uroxena;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11685;Apostolepis arenaria;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11692;Apostolepis gaboi;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11709;Atractus caete;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11727;Atractus ronnie;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12216;Bothrops muriciensis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12220;Bothrops pirajai;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11974;Calyptommatus leiolepis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11975;Calyptommatus nicterus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11976;Calyptommatus sinebrachiatus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
8472;Chiasmocleis alagoana;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12101;Coleodactylus natalensis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
8289;Crossodactylus dantei;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
8293;Crossodactylus lutzorum;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11760;Echinanthera cephalomaculata;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12044;Enyalius erythroceneus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12134;Eurolophosaurus amathites;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11997;Heterodactylus septentrionalis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11999;Leposoma annectans;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12000;Leposoma baturitensis;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12003;Leposoma nanodactylus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12006;Leposoma puk;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11597;Leposternon kisteumacheri;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11600;Leposternon octostegum;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
8134;Phyllodytes gyrinaethes;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
8436;Physalaemus caete;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12023;Procellosaurinus tetradactylus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
8551;Proceratophrys sanctaritae;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11863;Rodriguesophis chui;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11865;Rodriguesophis scriptorcibatus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12150;Tropidophis grapiuna;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12169;Tropidurus erythrocephalus;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12174;Tropidurus hygomi;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12183;Tropidurus psammonastes;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
12159;Stenocercus dumerilii;RAN_10.02;Herpetofauna do Nordeste - 2º ciclo
11701;Apostolepis quirogai;RAN_09.02;Herpetofauna do Sul - 2º ciclo
11733;Atractus thalesdelemai;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7703;Brachycephalus pernix;RAN_09.02;Herpetofauna do Sul - 2º ciclo
11742;Calamodontophis paucidens;RAN_09.02;Herpetofauna do Sul - 2º ciclo
11743;Calamodontophis ronaldoi;RAN_09.02;Herpetofauna do Sul - 2º ciclo
12130;Contomastix vacariensis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7854;Cycloramphus diringshofeni;RAN_09.02;Herpetofauna do Sul - 2º ciclo
11757;Ditaxodon taeniatus;RAN_09.02;Herpetofauna do Sul - 2º ciclo
12088;Homonota uruguayensis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
8068;Boana curupi;RAN_09.02;Herpetofauna do Sul - 2º ciclo
8101;Boana semiguttata;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7723;Ischnocnema manezinho;RAN_09.02;Herpetofauna do Sul - 2º ciclo
12065;Liolaemus arambarensis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
12067;Liolaemus occipitalis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7761;Melanophryniscus admirabilis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7764;Melanophryniscus cambaraensis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7766;Melanophryniscus dorsalis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7769;Melanophryniscus macrogranulosus;RAN_09.02;Herpetofauna do Sul - 2º ciclo
12157;Stenocercus azureus;RAN_09.02;Herpetofauna do Sul - 2º ciclo
7886;Thoropa saxatilis;RAN_09.02;Herpetofauna do Sul - 2º ciclo
12175;Tropidurus imbituba;RAN_09.02;Herpetofauna do Sul - 2º ciclo
10869;Inia geoffrensis;CMA_05.01;Mamíferos Aquáticos Amazônicos
11524;Trichechus inunguis;CMA_05.01;Mamíferos Aquáticos Amazônicos
10827;Pteronura brasiliensis;CMA_05.01;Mamíferos Aquáticos Amazônicos
