idPan;panNome;siglaEstado
CEMAVE_29.02;(Elaborado) Aves do Cerrado e Pantanal - 2º ciclo;MG
CEMAVE_29.02;(Elaborado) Aves do Cerrado e Pantanal - 2º ciclo;TO
CEMAVE_29.02;(Elaborado) Aves do Cerrado e Pantanal - 2º ciclo;GO
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;PR
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;RJ
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;RS
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;SC
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;SP
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;ES
CEMAVE_27.02;Ararinha-azul - 2º ciclo;BA
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;AC
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;AP
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;AM
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;MT
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;PA
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;RO
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;RR
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;TO
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;AL
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;BA
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;CE
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;PB
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;PE
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;PI
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;RN
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;MG
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;SE
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;MA
CEMAVE_20.01;Aves da Mata Atlântica;AL
CEMAVE_20.01;Aves da Mata Atlântica;BA
CEMAVE_20.01;Aves da Mata Atlântica;DF
CEMAVE_20.01;Aves da Mata Atlântica;ES
CEMAVE_20.01;Aves da Mata Atlântica;CE
CEMAVE_20.01;Aves da Mata Atlântica;GO
CEMAVE_20.01;Aves da Mata Atlântica;MS
CEMAVE_20.01;Aves da Mata Atlântica;MG
CEMAVE_20.01;Aves da Mata Atlântica;PB
CEMAVE_20.01;Aves da Mata Atlântica;PE
CEMAVE_20.01;Aves da Mata Atlântica;PI
CEMAVE_20.01;Aves da Mata Atlântica;RJ
CEMAVE_20.01;Aves da Mata Atlântica;RN
CEMAVE_20.01;Aves da Mata Atlântica;RS
CEMAVE_20.01;Aves da Mata Atlântica;SC
CEMAVE_20.01;Aves da Mata Atlântica;SP
CEMAVE_20.01;Aves da Mata Atlântica;SE
CEMAVE_22.02;Aves dos Campos Sulinos - 2º ciclo;PR
CEMAVE_22.02;Aves dos Campos Sulinos - 2º ciclo;RS
CEMAVE_22.02;Aves dos Campos Sulinos - 2º ciclo;SC
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;AP
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;PA
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;MA
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;PI
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;RN
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;PB
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;PE
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;AL
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;SE
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;BA
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;RJ
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;SP
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;PR
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;SC
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;RS
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;MT
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;MS
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;RO
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;RR
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;AM
CEMAVE_24.01;Aves Marinhas;AL
CEMAVE_24.01;Aves Marinhas;AP
CEMAVE_24.01;Aves Marinhas;BA
CEMAVE_24.01;Aves Marinhas;CE
CEMAVE_24.01;Aves Marinhas;ES
CEMAVE_24.01;Aves Marinhas;MA
CEMAVE_24.01;Aves Marinhas;PA
CEMAVE_24.01;Aves Marinhas;PB
CEMAVE_24.01;Aves Marinhas;PR
CEMAVE_24.01;Aves Marinhas;PE
CEMAVE_24.01;Aves Marinhas;PI
CEMAVE_24.01;Aves Marinhas;RJ
CEMAVE_24.01;Aves Marinhas;RN
CEMAVE_24.01;Aves Marinhas;RS
